,CAD,BTC,ETH,ADA,XLM,XMR,ZEC,LINK,COMP,GLM,SNX,UNI,NANO,XRP,DOT,DOGE
TOTAL,4837.45,0.0250033700,0.4236057195,1954.6351760000,2019.7708313000,4.7515528250,1.0826200000,3.6975400000,0.3384840200,665.4429151900,3.2354733800,5.7000000000,14.8852693500,205.4513080000,4.9202254200,1274.0451646700
BOOK,4880.75,"$1,122.45",$658.71,$720.00,$475.80,$933.79,$115.00,$105.00,$105.00,$105.00,$100.00,$125.00,$0.00,$105.00,$110.00,$100.00
2020-12-15 12:50:00,$100.00,,,,,,,,,,,,,,,
2020-12-15 14:22:00,$10.00,,,,,,,,,,,,,,,
2020-12-22 17:03:00,-$152.55,,,,,,,,,,,,,,,
2021-01-02 10:52:00,$100.00,,,,,,,,,,,,,,,
2021-01-03 20:30:00,,0.00296900,,,,,,,,,,,,,,
2021-01-04 11:22:00,$100.00,,,,,,,,,,,,,,,
2021-01-04 11:40:00,,,0.03849600,,,,,,,,,,,,,
2021-01-04 12:10:00,,,,,,0.29312500,,,,,,,,,,
2021-01-04 12:12:00,$100.00,,,,,,,,,,,,,,,
2021-01-04 12:24:00,,0.00124200,,,,,,,,,,,,,,
2021-01-04 12:24:00,,,,,253.62098600,,,,,,,,,,,
2021-01-05 09:05:00,$95.00,,,,,,,,,,,,,,,
2021-01-05 09:12:00,,,0.07036400,,,,,,,,,,,,,
2021-01-05 09:14:00,,,-0.07770000,,,,,,,,,,,,,
2021-01-05 09:14:00,,,-0.00446250,,,,,,,,,,,,,
2021-01-05 09:20:00,,,,317.31095200,,,,,,,,,,,,
2021-01-05 09:20:00,,,,-2.19752600,,,,,,,,,,,,
2021-01-05 09:30:00,$105.00,,,,,,,,,,,,,,,
2021-01-05 11:59:00,,,0.07682800,,,,,,,,,,,,,
2021-01-06 14:47:00,$105.00,,,,,,,,,,,,,,,
2021-01-06 19:03:00,,0.00290410,,,,,,,,,,,,,,
2021-01-06 19:36:00,$260.00,,,,,,,,,,,,,,,
2021-01-06 19:35:00,,0.00621796,,,,,,,,,,,,,,
2021-01-10 20:08:00,,,,,,0.11808000,,,,,,,,,,
2021-01-11 08:39:00,$150.00,,,,,,,,,,,,,,,
2021-01-11 08:45:00,,0.00239739,,,,,,,,,,,,,,
2021-01-11 08:45:00,,,0.06005341,,,,,,,,,,,,,
2021-01-11 09:28:00,$200.00,,,,,,,,,,,,,,,
2021-01-11 10:12:00,,,,,,1.04625900,,,,,,,,,,
2021-01-11 11:08:00,$300.00,,,,,,,,,,,,,,,
2021-01-11 11:19:00,,,,,999.03352300,,,,,,,,,,,
2021-01-11 11:27:00,,,,446.43068300,-502.63252170,,,,,,,,,,,
2021-01-11 11:27:00,,,,,-1.00001500,,,,,,,,,,,
2021-01-12 09:57:00,$275.00,,,,,,,,,,,,,,,
2021-01-12 10:07:00,,,,,67.73051400,,,,,,,,,,,
2021-01-12 10:07:00,,,,,-0.00002000,,,,,,,,,,,
2021-01-12 10:10:00,,,,318.64974200,,0.56921349,,,,,,,,,,
2021-01-12 10:13:00,,,,,,,,,,,,,,,,
2021-01-13 16:15:00,,-0.00043845,-0.00129938,-2.39518300,-0.00001000,-0.00018480,,,,,,,,,,
2021-01-14 10:45:00,"$1,000.00",,0.15059463,599.76863300,648.71798400,1.11079714,,,,,,,,,,
2021-01-15 12:45:00,$300.00,0.00219800,0.06813100,,281.30251800,,,,,,,,,,,
2021-01-20 10:20:00,$300.00,0.00679900,,,,,,,,,,,,,,
2021-01-20 10:35:00,,0.00071437,,,,,,,,,,,,,,
2021-01-20 11:20:00,$100.00,,,,270.31119400,,,,,,,,,,,
2021-01-20 11:20:00,,,,,0.00042000,,,,,,,,,,,
2021-01-20 12:40:00,$100.00,,,,,0.51777000,,,,,,,,,,
2021-01-20 12:40:00,,,,,,0.00000700,,,,,,,,,,
2021-01-20 22:45:00,$100.00,,,,,0.53671700,,,,,,,,,,
2021-01-22 12:00:00,$100.00,,,,,0.55976900,,,,,,,,,,
2021-01-27 13:00:00,$350.00,,,275.86151400,2.68632770,,1.08262000,3.69754000,,,,,,,,
2021-01-27 22:00:00,$210.00,,,,-0.00006870,,,,0.33848402,665.44291519,,,,,,
2021-01-28 14:50:00,$300.00,,0.04260056,,,,,,,,3.23547338,,,,,2876.26000000
2021-01-28 16:45:00,$125.00,,,,,,,,,,,5.70000000,,,,-1602.21483533
2021-01-29 08:15:00,,,,,,,,,,,,,14.88526935,,,
2021-01-30 14:30:00,$215.00,,,,,,,,,,,,,205.45130800,4.92022542,
2021-01-30 14:30:00,,,,1.20636100,,,,,,,,,,,,
